journal,citations,years,authors,involvement,us,academia,male
NATURE,2,3,3,0.8888888889,NO,YES,NO
NATURE,129,3,5,0.7333333333,NO,NO,YES
NATURE,26,3,5,0.7333333333,NO,YES,YES
NATURE,20,4,2,1,NO,YES,YES
NATURE,27,4,5,0.3333333333,NO,YES,NO
NATURE,39,4,3,1,YES,NO,YES
NATURE,28,5,6,0.8333333333,NO,YES,NO
NATURE,12,5,7,0.619047619,NO,NO,NO
NATURE,8,5,8,0.7083333333,NO,NO,NO
NATURE,29,6,5,0.6666666667,NO,YES,NO
NATURE,43,6,4,0.6666666667,NO,NO,YES
NATURE,77,6,9,1,NO,YES,NO
NATURE,15,7,6,0.8888888889,NO,YES,NO
NATURE,29,7,4,0.6666666667,NO,NO,NO
NATURE,6,7,4,0.75,NO,YES,YES
NATURE,34,8,4,0.75,NO,YES,NO
NATURE,21,8,3,0.6666666667,NO,YES,NO
NATURE,9,8,5,0.6,NO,NO,YES
NATURE,44,9,3,1,NO,YES,NO
NATURE,37,9,5,0.8666666667,NO,NO,YES
NATURE,34,9,5,0.9333333333,NO,YES,NO
NATURE,62,10,3,0.8888888889,NO,YES,NO
NATURE,17,10,6,0.6111111111,NO,NO,YES
NATURE,34,10,5,0.9333333333,NO,YES,NO
NATURE,10,6,8,0.7083333333,NO,YES,NO
NATURE,5,11,3,1,YES,YES,YES
NATURE,12,11,2,1,YES,YES,YES
NATURE,7,9,2,1,YES,YES,YES
NATURE,30,8,3,1,NO,NO,YES
NATURE,103,6,3,0.7777777778,NO,YES,YES
NATURE,32,3,2,1,NO,YES,YES
NATURE,16,3,3,0.6666666667,YES,YES,YES
NATURE,9,3,3,0.7777777778,NO,NO,YES
NATURE,8,4,2,1,NO,YES,YES
NATURE,51,4,14,0.6904761905,NO,NO,YES
NATURE,22,4,3,0.5555555556,YES,YES,NO
NATURE,7,5,3,0.8888888889,YES,YES,NO
NATURE,8,5,3,0.6666666667,NO,YES,YES
NATURE,19,5,2,1,NO,NO,YES
NATURE,21,6,2,1,NO,YES,YES
NATURE,42,7,3,0.7777777778,YES,YES,YES
NATURE,4,7,5,1,NO,YES,NO
NATURE,17,7,3,0.5555555556,NO,YES,YES
NATURE,16,8,2,1,NO,YES,YES
NATURE,61,8,8,0.6666666667,NO,YES,NO
NATURE,41,9,5,0.9333333333,NO,NO,YES
NATURE,113,9,5,0.8666666667,NO,NO,NO
NATURE,96,10,27,1,NO,NO,NO
NATURE,1205,10,7,1,YES,NO,NO
NATURE,124,10,5,0.7333333333,NO,YES,NO
NATURE,39,11,3,1,NO,NO,YES
NATURE,454,11,8,0.9166666667,YES,NO,YES
NATURE,307,11,4,0.9166666667,NO,YES,NO
NATURE,481,11,3,0.7777777778,NO,YES,NO
NATURE,20,12,4,1,YES,YES,YES
NATURE,1987,12,6,1,NO,NO,YES
NATURE,154,12,1,1,YES,YES,YES
NATURE,206,12,3,0.7777777778,NO,YES,YES
NATURE,773,12,10,1,NO,NO,NO
NATURE,380,12,1,1,YES,YES,YES
PNAS,1,3,2,1,YES,NO,NO
PNAS,30,3,3,1,NO,NO,NO
PNAS,6,3,6,0.8333333333,NO,NO,YES
PNAS,19,4,2,1,NO,YES,YES
PNAS,7,4,5,0.5333333333,NO,NO,NO
PNAS,226,4,11,0.5454545455,NO,NO,NO
PNAS,211,5,8,0.9166666667,YES,NO,NO
PNAS,25,5,4,1,NO,NO,YES
PNAS,191,5,3,0.7777777778,NO,NO,NO
PNAS,15,6,4,1,YES,YES,YES
PNAS,98,6,6,0.7777777778,NO,NO,YES
PNAS,289,6,16,0.5,YES,NO,YES
PNAS,110,7,4,0.5833333333,YES,YES,YES
PNAS,36,7,3,0.8888888889,YES,YES,NO
PNAS,9,7,2,1,NO,YES,NO
PNAS,65,8,4,1,YES,YES,YES
PNAS,29,8,3,0.6666666667,NO,YES,NO
PNAS,41,8,2,0.8333333333,YES,YES,YES
PNAS,122,9,8,0.75,NO,YES,NO
PNAS,9,9,2,0.8333333333,YES,YES,YES
PNAS,12,9,4,0.5833333333,NO,YES,YES
PNAS,35,10,4,1,YES,YES,NO
PNAS,407,10,4,1,YES,NO,YES
PNAS,42,10,3,0.8888888889,NO,YES,YES
PNAS,113,11,2,1,YES,YES,YES
PNAS,59,11,4,1,NO,YES,YES
PNAS,33,11,7,0.7619047619,NO,NO,NO
PNAS,35,12,7,0.8095238095,YES,YES,NO
PNAS,60,12,3,0.8888888889,YES,YES,YES
PNAS,294,12,6,0.8888888889,YES,YES,YES
PNAS,37,3,6,0.7777777778,NO,NO,NO
PNAS,23,3,3,0.8888888889,YES,YES,YES
PNAS,195,3,5,0.9333333333,YES,YES,NO
PNAS,37,4,7,0.7142857143,NO,YES,YES
PNAS,150,4,5,1,YES,YES,YES
PNAS,16,4,1,1,YES,YES,YES
PNAS,40,5,2,1,NO,NO,YES
PNAS,191,5,7,0.7619047619,YES,YES,NO
PNAS,49,5,6,0.7222222222,NO,NO,NO
PNAS,88,6,10,1,NO,NO,NO
PNAS,227,6,2,1,YES,YES,YES
PNAS,78,6,4,0.75,NO,NO,YES
PNAS,240,7,9,0.6296296296,YES,NO,NO
PNAS,13,7,2,1,NO,NO,YES
PNAS,20,6,4,1,YES,YES,YES
PNAS,6,8,2,1,YES,YES,NO
PNAS,7,8,8,0.7916666667,NO,YES,YES
PNAS,371,8,6,0.9444444444,NO,NO,YES
PNAS,8,9,5,0.7333333333,YES,YES,NO
PNAS,82,9,2,1,NO,YES,YES
PNAS,137,9,2,1,YES,YES,YES
PNAS,197,10,20,0.4833333333,NO,NO,NO
PNAS,20,10,3,0.8888888889,YES,YES,YES
PNAS,187,10,6,0.7777777778,YES,YES,NO
PNAS,195,11,1,1,YES,YES,YES
PNAS,28,11,3,0.7777777778,YES,YES,YES
PNAS,306,11,8,0.5833333333,NO,NO,NO
PNAS,27,12,3,0.8888888889,NO,YES,NO
PNAS,259,12,14,0.5,NO,NO,NO
PNAS,211,12,2,1,YES,YES,YES
