,0
106,
4115,a stratigraphic framework
5793,a tool for classifying free affiliations
6066,absolute quantification assay 
941,abundance analysis shown in toggle 
7659,acceleration dependency for the models of exponential 
157,access
5319,access to the study site
8037,accrued
4169,aconitase
2719,acquired
162,acquired 
7267,acquired animals
2191,acquired clinical samples
4949,acquired coalescence movies
312,acquired data
6094,acquired data 
6096,acquired data northwestern 
6095,acquired data southern 
7746,acquired experimental data
970,acquired financial support for the project
119,acquired funding
640,acquired funding 
1683,acquired funding for the study
2174,acquired funding for this research
1802,acquired funding for vaccination campaign
2137,acquired funds
168,acquired immunostaining data
3502,acquired preliminary data
8277,acquired samples
7824,acquired samples for sequencing 
979,acquired the financial support for the scientific projects that led to this publication
2949,acted as advisor
6692,acted as clinician
154,activation
4938,activity experiments
8329,acute 
6785,adapted
2772,adapted stimuli
3488,adapted the study concept to nonhuman primates
6108,adapted the toolbox for this experiment
2148,added citations
5404,added new data 
4923,added suggestions on the paper
799,added text
7475,adhesion calculations
973,administered the entire program
766,administered the project
2136,administered the project 
1310,administered the project overall
448,administration
6106,administrative approvals
6889,administrative support
2804,advice
4899,advice on
853,advice on experiments
1983,advice on research tools
2465,advice on study design
3368,advice on study design 
1130,advised 
4892,advised biostatistics
847,advised during research
4890,advised epigenome analysis
2722,advised for analysis performance
2370,advised in the experiments 
6633,advised in the research 
3544,advised on analysis
7402,advised on analytic methods
7227,advised on approach 
221,advised on archaeological background
5898,advised on behavioral experiments
2537,advised on data analysis
2585,advised on decision making for malaria control
944,advised on experimental 
3271,advised on experimental design
4787,advised on experimental design 
2630,advised on experiments
4810,advised on immunohistochemistry
5824,advised on its use for 
1558,advised on logistics for fieldwork
3660,advised on magnetoreception
5472,advised on modeling
1064,advised on neurodevelopmental disorder genetics
4104,advised on omics
153,advised on p isolation
8530,advised on reconstruction techniques
1299,advised on research
1653,advised on research design
3742,advised on selection of brain sections
4644,advised on several aspects on experiments 
19,advised on statistical aspects
1831,advised on survival analysis
680,advised on the development of the theory 
3743,advised on the importance of 
